first_name,second_name,web_name,position,team,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,ict_index,form,now_cost,selected_by_percent,news,news_added,yellow_cards,red_cards
Bernd,Leno,Leno,Goalkeeper,Arsenal,1,1.0,90,0,0,0,2,1,1.2,1.0,50,2.2,,,0,0
Rúnar Alex,Rúnarsson,Rúnarsson,Goalkeeper,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,40,1.4,,,0,0
Willian,Borges Da Silva,Willian,Midfielder,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,65,0.3,,,0,0
Pierre-Emerick,Aubameyang,Aubameyang,Forward,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,100,2.0,Illness - 25% chance of playing,2021-08-13T14:30:14.477664Z,0,0
Cédric,Soares,Cédric,Defender,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,,,0,0
Alexandre,Lacazette,Lacazette,Forward,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,85,2.1,Illness - 25% chance of playing,2021-08-13T14:30:14.582063Z,0,0
Granit,Xhaka,Xhaka,Midfielder,Arsenal,2,2.0,90,0,0,0,2,0,4.5,2.0,50,1.0,,,0,0
Pablo,Marí,Marí,Defender,Arsenal,1,1.0,90,0,0,0,2,0,2.5,1.0,45,0.2,,,0,0
Héctor,Bellerín,Bellerín,Defender,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,50,1.0,,,0,0
Calum,Chambers,Chambers,Defender,Arsenal,1,1.0,80,0,0,0,2,0,4.2,1.0,45,0.4,,,0,0
Sead,Kolasinac,Kolasinac,Defender,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Mohamed Naser,El Sayed Elneny,Elneny,Midfielder,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.7,,,0,0
Ainsley,Maitland-Niles,Maitland-Niles,Midfielder,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.1,,,0,0
Rob,Holding,Holding,Defender,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,45,1.9,,,0,0
Thomas,Partey,Partey,Midfielder,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,Ankle injury - Expected back 28 Aug,2021-08-04T10:30:07.806099Z,0,0
Kieran,Tierney,Tierney,Defender,Arsenal,1,1.0,90,0,0,0,2,0,15.5,1.0,50,7.7,,,0,0
Nicolas,Pépé,Pépé,Midfielder,Arsenal,2,2.0,90,0,0,0,2,0,10.3,2.0,75,2.9,,,0,0
Lucas,Torreira,Torreira,Midfielder,Arsenal,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.5,,,0,0
